packet,altitude,pressure,temperature,vertical_speed,battery,voltage,roll,pitch,yaw,lat,lon,sats,fix
1,0.0,1013.25,14.9,0.00,4.20,4.12,6.8,9.1,15.0,28.634928,77.084820,0,NO FIX
2,0.0,1013.25,14.8,0.00,4.21,4.12,8.7,6.9,30.0,28.634989,77.084901,0,NO FIX
3,0.0,1013.25,15.0,0.00,4.21,4.13,10.4,6.3,45.0,28.635071,77.084886,0,NO FIX
4,0.0,1013.25,15.2,0.00,4.22,4.13,10.8,3.1,60.1,28.634976,77.084904,0,NO FIX
5,11.1,1011.92,15.1,-10.99,4.22,4.13,9.6,1.0,75.1,28.635068,77.084906,8,FIX 3D
6,22.3,1010.58,15.1,-10.88,4.22,4.14,7.3,-1.1,90.1,28.635098,77.084942,9,FIX 3D
7,34.2,1009.14,14.9,-11.69,4.23,4.14,4.7,-3.1,105.1,28.635006,77.084948,11,FIX 3D
8,43.9,1007.98,14.9,-9.56,4.23,4.14,1.9,-4.7,120.0,28.634975,77.084849,8,FIX 3D
9,55.7,1006.58,14.6,-11.24,4.23,4.15,-2.4,-6.5,135.0,28.634929,77.084779,10,FIX 3D
10,64.9,1005.48,14.5,-9.05,4.23,4.15,-5.5,-7.0,150.2,28.635020,77.084777,10,FIX 3D
11,73.6,1004.45,14.3,-8.51,4.23,4.15,-8.8,-6.6,165.0,28.634974,77.084832,8,FIX 3D
12,85.2,1003.05,14.4,-11.29,4.23,4.15,-7.1,-5.8,180.1,28.635053,77.084862,10,FIX 3D
13,95.8,1001.80,14.4,-10.36,4.24,4.15,-5.8,-4.5,195.1,28.635138,77.084877,11,FIX 3D
14,104.6,1000.75,14.2,-8.31,4.24,4.15,-4.8,-2.2,210.0,28.635125,77.084816,11,FIX 3D
15,114.9,999.53,14.4,-9.89,4.23,4.15,-1.3,0.2,225.0,28.635074,77.084905,10,FIX 3D
16,123.2,998.54,14.1,-8.16,4.23,4.15,1.3,2.2,240.0,28.635085,77.084996,8,FIX 3D
17,132.6,997.42,14.4,-9.13,4.23,4.15,6.6,4.5,255.1,28.635074,77.084986,8,FIX 3D
18,144.6,996.01,14.3,-11.52,4.23,4.15,8.9,5.7,270.1,28.635126,77.085019,8,FIX 3D
19,156.5,994.59,14.0,-11.67,4.23,4.14,11.8,8.0,285.1,28.635186,77.084926,8,FIX 3D
20,168.5,993.18,13.7,-11.89,4.23,4.14,11.6,8.1,300.1,28.635281,77.085002,8,FIX 3D
21,179.5,991.88,14.1,-10.69,4.22,4.14,11.0,9.1,315.1,28.635373,77.085017,10,FIX 3D
22,189.5,990.70,14.0,-9.93,4.22,4.13,8.3,7.9,330.0,28.635329,77.085113,9,FIX 3D
23,198.2,989.66,13.8,-8.56,4.21,4.13,2.8,6.6,345.0,28.635414,77.085129,9,FIX 3D
24,207.8,988.54,13.5,-9.24,4.21,4.13,0.2,5.9,0.2,28.635442,77.085146,11,FIX 3D
25,217.5,987.39,13.8,-9.25,4.20,4.12,-5.5,4.6,15.1,28.635528,77.085118,10,FIX 3D
26,229.1,986.03,13.5,-11.51,4.20,4.12,-6.7,1.6,30.1,28.635434,77.085161,9,FIX 3D
27,238.9,984.88,13.4,-9.60,4.19,4.11,-7.7,-1.8,45.1,28.635454,77.085204,9,FIX 3D
28,247.1,983.92,13.4,-7.87,4.19,4.10,-7.7,-4.1,60.1,28.635468,77.085110,8,FIX 3D
29,256.7,982.79,13.1,-9.47,4.18,4.10,-6.4,-5.2,75.0,28.635526,77.085154,8,FIX 3D
30,265.9,981.72,13.1,-9.09,4.18,4.09,-3.7,-6.5,90.0,28.635443,77.085091,8,FIX 3D
31,277.0,980.42,13.2,-10.77,4.17,4.09,0.5,-6.9,105.1,28.635457,77.085175,11,FIX 3D
32,286.1,979.35,13.3,-8.73,4.17,4.08,4.2,-7.5,120.0,28.635401,77.085138,9,FIX 3D
33,296.1,978.19,13.0,-9.62,4.16,4.08,7.6,-7.0,135.1,28.635345,77.085197,11,FIX 3D
34,306.4,976.99,13.0,-10.25,4.15,4.07,9.4,-5.2,150.1,28.635267,77.085193,8,FIX 3D
35,314.6,976.03,13.1,-7.95,4.15,4.06,10.7,-3.0,165.1,28.635255,77.085099,8,FIX 3D
36,325.1,974.81,12.8,-10.11,4.14,4.06,12.5,0.4,180.0,28.635208,77.085121,10,FIX 3D
37,336.2,973.51,12.9,-10.95,4.14,4.05,8.6,2.0,195.0,28.635286,77.085214,11,FIX 3D
38,347.1,972.25,12.9,-10.87,4.13,4.05,5.4,4.6,210.1,28.635207,77.085292,10,FIX 3D
39,355.4,971.28,12.7,-7.89,4.13,4.04,3.2,6.6,225.1,28.635117,77.085216,8,FIX 3D
40,364.1,970.27,12.6,-8.46,4.12,4.04,-0.7,7.3,240.1,28.635040,77.085180,10,FIX 3D
41,374.2,969.10,12.8,-10.04,4.12,4.04,-5.0,8.1,255.1,28.635086,77.085110,8,FIX 3D
42,384.5,967.91,12.4,-10.09,4.11,4.03,-8.8,9.4,270.1,28.635179,77.085189,8,FIX 3D
43,394.3,966.78,12.2,-9.37,4.11,4.03,-9.6,8.7,285.0,28.635252,77.085098,8,FIX 3D
44,403.9,965.67,12.4,-9.09,4.11,4.03,-8.3,7.8,300.1,28.635343,77.085007,8,FIX 3D
45,394.8,966.72,12.4,9.17,4.11,4.02,-5.4,5.0,315.1,28.635420,77.085053,8,FIX 3D
46,384.9,967.86,12.5,10.04,4.10,4.02,-3.3,2.8,330.1,28.635515,77.085082,9,FIX 3D
47,374.5,969.07,12.7,10.73,4.10,4.02,0.0,0.9,345.1,28.635514,77.085150,9,FIX 3D
48,365.5,970.11,12.5,9.04,4.10,4.02,3.6,-1.7,0.1,28.635496,77.085055,10,FIX 3D
49,356.2,971.18,12.6,9.41,4.10,4.02,9.8,-2.6,15.0,28.635461,77.085128,11,FIX 3D
50,346.8,972.28,12.8,9.91,4.10,4.02,10.6,-4.6,30.0,28.635416,77.085053,8,FIX 3D
51,336.8,973.44,12.6,10.22,4.10,4.02,11.7,-5.8,45.1,28.635348,77.085084,8,FIX 3D
52,327.9,974.48,12.8,8.95,4.10,4.02,11.2,-7.6,60.1,28.635372,77.084994,10,FIX 3D
53,318.8,975.54,12.8,9.35,4.11,4.02,9.3,-6.7,75.1,28.635430,77.084953,9,FIX 3D
54,309.8,976.58,13.0,9.18,4.11,4.03,5.9,-5.4,90.1,28.635363,77.084939,8,FIX 3D
55,300.9,977.62,12.8,9.15,4.11,4.03,0.5,-4.1,105.1,28.635369,77.084886,11,FIX 3D
56,292.3,978.62,13.1,8.84,4.11,4.03,-1.0,-1.7,120.0,28.635402,77.084803,10,FIX 3D
57,283.7,979.64,13.0,8.79,4.12,4.03,-5.4,-0.7,135.0,28.635396,77.084871,8,FIX 3D
58,275.0,980.66,13.2,9.12,4.12,4.04,-8.0,2.3,150.1,28.635444,77.084781,8,FIX 3D
59,264.8,981.85,13.0,10.34,4.12,4.04,-8.6,3.3,165.1,28.635474,77.084840,10,FIX 3D
60,254.9,983.01,13.4,10.29,4.13,4.04,-7.6,6.1,180.1,28.635522,77.084750,11,FIX 3D
61,244.9,984.17,13.3,10.20,4.13,4.05,-5.6,7.5,195.1,28.635499,77.084823,10,FIX 3D
62,235.5,985.28,13.7,9.72,4.13,4.05,-2.2,9.3,210.1,28.635552,77.084729,8,FIX 3D
63,225.8,986.42,13.3,9.87,4.14,4.06,3.6,8.6,225.0,28.635557,77.084684,8,FIX 3D
64,217.2,987.44,13.7,9.03,4.14,4.06,5.1,8.4,240.0,28.635536,77.084682,10,FIX 3D
65,206.8,988.65,13.5,10.55,4.15,4.06,10.2,6.9,255.1,28.635525,77.084667,9,FIX 3D
66,197.0,989.81,13.9,10.27,4.15,4.07,12.5,4.8,270.1,28.635517,77.084570,8,FIX 3D
67,186.8,991.02,13.8,10.31,4.15,4.07,11.8,4.5,285.1,28.635472,77.084628,11,FIX 3D
68,178.1,992.03,13.9,8.77,4.16,4.07,9.2,1.1,300.1,28.635408,77.084707,8,FIX 3D
69,169.0,993.12,14.1,9.30,4.16,4.08,8.4,-2.1,315.1,28.635431,77.084710,11,FIX 3D
70,159.4,994.25,13.9,9.65,4.16,4.08,3.0,-2.4,330.0,28.635445,77.084780,10,FIX 3D
71,150.7,995.28,14.0,8.80,4.17,4.08,0.8,-5.1,345.0,28.635483,77.084835,9,FIX 3D
72,142.1,996.30,14.0,8.66,4.17,4.08,-3.0,-5.5,0.1,28.635502,77.084757,9,FIX 3D
73,133.3,997.35,14.1,9.17,4.17,4.09,-5.4,-6.9,15.1,28.635441,77.084782,11,FIX 3D
74,123.2,998.53,14.2,10.41,4.17,4.09,-7.5,-6.5,30.1,28.635356,77.084779,9,FIX 3D
75,112.8,999.78,14.2,10.98,4.17,4.09,-9.2,-5.7,45.1,28.635340,77.084734,9,FIX 3D
76,103.1,1000.93,14.4,9.69,4.17,4.09,-7.3,-3.5,60.0,28.635299,77.084757,9,FIX 3D
77,93.1,1002.12,14.5,10.30,4.17,4.09,-3.0,-2.7,75.0,28.635371,77.084746,9,FIX 3D
78,84.0,1003.20,14.7,9.55,4.17,4.09,-1.4,-0.2,90.0,28.635316,77.084845,9,FIX 3D
79,74.5,1004.33,14.5,9.85,4.17,4.09,2.8,1.6,105.1,28.635286,77.084877,11,FIX 3D
80,65.0,1005.46,14.6,9.77,4.17,4.09,8.4,5.3,120.1,28.635340,77.084976,8,FIX 3D
81,54.6,1006.71,14.7,10.89,4.17,4.08,10.3,7.1,135.1,28.635251,77.084989,8,FIX 3D
82,44.6,1007.90,14.9,10.51,4.17,4.08,11.2,7.6,150.1,28.635346,77.084922,9,FIX 3D
83,35.8,1008.95,14.7,9.11,4.16,4.08,10.4,9.6,165.0,28.635257,77.084903,10,FIX 3D
84,26.9,1010.02,14.9,8.98,4.16,4.08,10.9,9.5,180.0,28.635303,77.084921,8,FIX 3D
85,17.8,1011.12,14.8,9.35,4.15,4.07,7.4,8.5,195.0,28.635240,77.084854,11,FIX 3D
86,8.7,1012.21,15.0,9.27,4.15,4.07,1.7,7.8,210.1,28.635301,77.084839,10,FIX 3D
87,0.0,1013.25,15.0,9.62,4.15,4.06,-2.1,5.1,225.1,28.635207,77.084756,10,FIX 3D
88,0.0,1013.25,15.0,10.02,4.14,4.06,-5.1,3.4,240.1,28.635258,77.084721,9,FIX 3D
89,0.0,1013.25,14.9,8.88,4.14,4.05,-6.4,1.9,255.0,28.635335,77.084759,11,FIX 3D
90,0.0,1013.25,14.8,9.19,4.13,4.05,-8.8,-1.7,270.0,28.635422,77.084824,8,FIX 3D
91,0.0,1013.25,15.1,10.57,4.12,4.04,-7.1,-2.9,285.0,28.635377,77.084900,11,FIX 3D
92,0.0,1013.25,15.2,10.22,4.12,4.04,-7.1,-5.1,300.2,28.635303,77.084826,8,FIX 3D
93,0.0,1013.25,15.1,9.73,4.11,4.03,-2.8,-7.4,315.1,28.635347,77.084791,9,FIX 3D
94,0.0,1013.25,14.9,9.83,4.11,4.03,0.3,-6.1,330.1,28.635400,77.084791,10,FIX 3D
95,0.0,1013.25,15.0,8.87,4.10,4.02,5.8,-7.5,345.1,28.635324,77.084863,10,FIX 3D
96,0.0,1013.25,15.0,9.91,4.10,4.01,9.3,-5.0,0.1,28.635314,77.084790,10,FIX 3D
97,0.0,1013.25,15.0,8.85,4.09,4.01,11.2,-3.8,15.0,28.635266,77.084870,11,FIX 3D
98,0.0,1013.25,15.0,9.66,4.08,4.00,10.1,-2.8,30.0,28.635183,77.084833,10,FIX 3D
99,0.0,1013.25,14.9,8.58,4.08,4.00,12.1,0.5,45.0,28.635144,77.084779,10,FIX 3D
100,0.0,1013.25,15.1,9.55,4.07,3.99,8.3,1.7,60.1,28.635217,77.084820,9,FIX 3D
101,0.0,1013.25,15.2,10.52,4.07,3.99,6.4,5.0,75.0,28.635286,77.084899,10,FIX 3D
102,0.0,1013.25,15.0,10.46,4.06,3.98,3.3,5.8,90.1,28.635250,77.084945,9,FIX 3D
103,0.0,1013.25,14.8,9.84,4.06,3.98,-2.8,8.8,105.1,28.635263,77.084896,11,FIX 3D
104,0.0,1013.25,14.8,8.98,4.05,3.97,-6.0,8.1,120.0,28.635214,77.084854,8,FIX 3D
105,0.0,1013.25,14.9,10.75,4.05,3.97,-6.6,8.5,135.0,28.635294,77.084901,9,FIX 3D
106,0.0,1013.25,15.0,10.30,4.05,3.97,-8.4,9.4,150.1,28.635356,77.084807,8,FIX 3D
107,0.0,1013.25,14.8,8.72,4.05,3.96,-8.4,8.1,165.1,28.635300,77.084897,8,FIX 3D
108,0.0,1013.25,15.0,10.25,4.04,3.96,-5.4,6.0,180.1,28.635284,77.084822,11,FIX 3D
109,0.0,1013.25,14.8,8.98,4.04,3.96,-2.6,3.0,195.1,28.635200,77.084874,8,FIX 3D
110,0.0,1013.25,15.1,9.39,4.04,3.96,2.3,1.6,210.1,28.635266,77.084910,10,FIX 3D
111,0.0,1013.25,14.8,9.97,4.04,3.96,6.0,-2.3,225.0,28.635192,77.084997,8,FIX 3D
112,0.0,1013.25,15.0,9.09,4.04,3.96,7.8,-3.7,240.0,28.635248,77.084900,8,FIX 3D
113,0.0,1013.25,15.2,9.83,4.04,3.96,11.5,-6.0,255.0,28.635217,77.084812,10,FIX 3D
114,0.0,1013.25,14.9,9.24,4.04,3.96,11.7,-7.3,270.1,28.635276,77.084827,10,FIX 3D
115,0.0,1013.25,15.1,8.70,4.04,3.96,11.6,-6.9,285.1,28.635258,77.084737,8,FIX 3D
116,0.0,1013.25,14.8,8.91,4.04,3.96,8.7,-6.8,300.1,28.635290,77.084723,11,FIX 3D
117,0.0,1013.25,14.8,9.22,4.04,3.96,6.0,-5.1,315.1,28.635286,77.084736,9,FIX 3D
118,0.0,1013.25,15.1,10.64,4.05,3.97,0.9,-4.1,330.0,28.635360,77.084678,11,FIX 3D
119,0.0,1013.25,14.8,10.11,4.05,3.97,-2.1,-2.0,345.0,28.635314,77.084739,11,FIX 3D
120,0.0,1013.25,14.9,8.73,4.05,3.97,-5.6,-0.5,0.1,28.635377,77.084822,11,FIX 3D
121,0.0,1013.25,14.8,10.51,4.06,3.98,-7.0,1.7,15.1,28.635442,77.084883,11,FIX 3D
122,0.0,1013.25,15.2,9.91,4.06,3.98,-8.2,4.3,30.1,28.635439,77.084815,9,FIX 3D
123,0.0,1013.25,14.8,9.37,4.06,3.98,-7.6,5.7,45.0,28.635407,77.084722,11,FIX 3D
124,0.0,1013.25,14.9,10.46,4.07,3.99,-6.1,8.3,60.0,28.635323,77.084686,10,FIX 3D
125,0.0,1013.25,15.0,9.14,4.07,3.99,-0.7,9.7,75.0,28.635413,77.084712,9,FIX 3D
126,0.0,1013.25,14.8,8.72,4.08,3.99,2.1,8.2,90.0,28.635346,77.084644,8,FIX 3D
127,0.0,1013.25,15.0,10.35,4.08,4.00,6.8,8.4,105.1,28.635435,77.084688,9,FIX 3D
128,0.0,1013.25,15.1,9.66,4.08,4.00,8.7,7.8,120.1,28.635454,77.084641,11,FIX 3D
129,0.0,1013.25,14.9,9.79,4.09,4.01,10.9,4.7,135.1,28.635458,77.084632,8,FIX 3D
130,0.0,1013.25,14.8,0.00,4.09,4.01,10.1,2.2,150.0,28.635369,77.084660,9,FIX 3D
131,0.0,1013.25,15.1,0.00,4.09,4.01,11.2,0.9,165.0,28.635428,77.084671,8,FIX 3D
132,0.0,1013.25,14.8,0.00,4.10,4.02,6.0,-2.3,180.1,28.635420,77.084583,11,FIX 3D
133,0.0,1013.25,15.2,0.00,4.10,4.02,3.2,-4.0,195.0,28.635520,77.084633,10,FIX 3D
